Date,SKU,Price,Demand
2023-01-01,product_0,5,139
2023-01-01,product_1,12,1
2023-01-01,product_2,12,129
2023-01-02,product_0,5,99
2023-01-02,product_1,12,158
2023-01-02,product_2,12,300
2023-01-03,product_0,5,58
2023-01-03,product_1,12,160
2023-01-03,product_2,12,16
2023-01-04,product_0,5,450
2023-01-04,product_1,12,240
2023-01-04,product_2,12,257
2023-01-05,product_0,5,32
2023-01-05,product_1,12,66
2023-01-05,product_2,12,123
2023-01-06,product_0,5,131
2023-01-06,product_1,12,63
2023-01-06,product_2,12,230
2023-01-07,product_0,5,372
2023-01-07,product_1,12,68
2023-01-07,product_2,12,190
2023-01-08,product_0,5,55
2023-01-08,product_1,12,252
2023-01-08,product_2,12,209
2023-01-09,product_0,5,170
2023-01-09,product_1,12,222
2023-01-09,product_2,12,193
2023-01-10,product_0,5,450
2023-01-10,product_1,12,83
2023-01-10,product_2,12,231
2023-01-11,product_0,5,300
2023-01-11,product_1,12,137
2023-01-11,product_2,12,69
2023-01-12,product_0,5,252
2023-01-12,product_1,12,231
2023-01-12,product_2,12,271
2023-01-13,product_0,5,218
2023-01-13,product_1,12,220
2023-01-13,product_2,12,139
2023-01-14,product_0,5,4
2023-01-14,product_1,12,298
2023-01-14,product_2,12,172
2023-01-15,product_0,5,307
2023-01-15,product_1,12,252
2023-01-15,product_2,12,61
2023-01-16,product_0,5,236
2023-01-16,product_1,12,238
2023-01-16,product_2,12,280
2023-01-17,product_0,5,273
2023-01-17,product_1,12,17
2023-01-17,product_2,12,294
2023-01-18,product_0,5,316
2023-01-18,product_1,12,209
2023-01-18,product_2,12,176
2023-01-19,product_0,5,305
2023-01-19,product_1,12,216
2023-01-19,product_2,12,93
2023-01-20,product_0,5,272
2023-01-20,product_1,12,277
2023-01-20,product_2,12,75
2023-01-21,product_0,5,269
2023-01-21,product_1,12,200
2023-01-21,product_2,12,70
2023-01-22,product_0,5,201
2023-01-22,product_1,12,85
2023-01-22,product_2,12,292
2023-01-23,product_0,5,90
