Date,SKU,Price,Demand
2023-01-01,product_0,5,184
2023-01-01,product_2,12,390
2023-01-02,product_0,5,165
2023-01-02,product_2,12,4
2023-01-03,product_0,5,215
2023-01-03,product_2,12,144
2023-01-04,product_0,5,251
2023-01-04,product_2,12,75
2023-01-05,product_0,5,383
2023-01-05,product_2,12,380
2023-01-06,product_0,5,435
2023-01-06,product_2,12,7
2023-01-07,product_0,5,572
2023-01-07,product_2,12,133
2023-01-08,product_0,5,478
2023-01-08,product_2,12,139
2023-01-09,product_0,5,360
2023-01-09,product_2,12,141
2023-01-10,product_0,5,514
2023-01-10,product_2,12,343
2023-01-11,product_0,5,415
2023-01-11,product_2,12,67
2023-01-12,product_0,5,372
2023-01-12,product_2,12,8
2023-01-13,product_0,5,587
2023-01-13,product_2,12,368
2023-01-14,product_0,5,9
2023-01-14,product_2,12,21
2023-01-15,product_0,5,562
2023-01-15,product_2,12,60
2023-01-16,product_0,5,328
2023-01-16,product_2,12,363
2023-01-17,product_0,5,585
2023-01-17,product_2,12,153
2023-01-18,product_0,5,554
2023-01-18,product_2,12,91
2023-01-19,product_0,5,304
2023-01-19,product_2,12,341
2023-01-20,product_0,5,100
2023-01-20,product_2,12,84
2023-01-21,product_0,5,154
2023-01-21,product_2,12,267
2023-01-22,product_0,5,573
2023-01-22,product_2,12,159
2023-01-23,product_0,5,300
2023-01-23,product_2,12,214
2023-01-24,product_0,5,539
2023-01-24,product_2,12,261
2023-01-25,product_0,5,455
2023-01-25,product_2,12,284
2023-01-26,product_0,5,391
2023-01-26,product_2,12,123
2023-01-27,product_0,5,197
2023-01-27,product_2,12,370
2023-01-28,product_0,5,83
2023-01-28,product_2,12,342
2023-01-29,product_0,5,26
2023-01-29,product_2,12,371
2023-01-30,product_0,5,473
2023-01-30,product_2,12,286
2023-01-31,product_0,5,552
2023-01-31,product_2,12,216
2023-02-01,product_0,5,408
2023-02-01,product_2,12,159
2023-02-02,product_0,5,434
2023-02-02,product_2,12,283
2023-02-03,product_0,5,217
2023-02-03,product_2,12,391
2023-02-04,product_0,5,303
2023-02-04,product_2,12,295
2023-02-05,product_0,5,4
2023-02-05,product_2,12,293
2023-02-06,product_0,5,483
2023-02-06,product_2,12,290
2023-02-07,product_0,5,507
2023-02-07,product_2,12,366
2023-02-08,product_0,5,482
2023-02-08,product_2,12,3
2023-02-09,product_0,5,352
2023-02-09,product_2,12,0
2023-02-10,product_0,5,465
2023-02-10,product_2,12,320
2023-02-11,product_0,5,108
2023-02-11,product_2,12,325
2023-02-12,product_0,5,30
2023-02-12,product_2,12,237
2023-02-13,product_0,5,498
2023-02-13,product_2,12,343
2023-02-14,product_0,5,306
2023-02-14,product_2,12,29
2023-02-15,product_0,5,24
2023-02-15,product_2,12,286
2023-02-16,product_0,5,22
2023-02-16,product_2,12,149
2023-02-17,product_0,5,263
2023-02-17,product_2,12,351
2023-02-18,product_0,5,397
2023-02-18,product_2,12,274
2023-02-19,product_0,5,233
2023-02-19,product_2,12,276
2023-02-20,product_0,5,395
2023-02-20,product_2,12,398
2023-02-21,product_0,5,195
2023-02-21,product_2,12,80
2023-02-22,product_0,5,446
2023-02-22,product_2,12,329
2023-02-23,product_0,5,80
2023-02-23,product_2,12,180
2023-02-24,product_0,5,454
2023-02-24,product_2,12,238
2023-02-25,product_0,5,576
2023-02-25,product_2,12,185
2023-02-26,product_0,5,590
2023-02-26,product_2,12,128
2023-02-27,product_0,5,143
2023-02-27,product_2,12,323
2023-02-28,product_0,5,386
2023-02-28,product_2,12,331
2023-03-01,product_0,5,417
2023-03-01,product_2,12,281
2023-03-02,product_0,5,209
2023-03-02,product_2,12,120
2023-03-03,product_0,5,99
2023-03-03,product_2,12,131
2023-03-04,product_0,5,552
2023-03-04,product_2,12,254
2023-03-05,product_0,5,35
2023-03-05,product_2,12,394
2023-03-06,product_0,5,543
2023-03-06,product_2,12,173
2023-03-07,product_0,5,135
2023-03-07,product_2,12,257
2023-03-08,product_0,5,123
2023-03-08,product_2,12,232
2023-03-09,product_0,5,512
2023-03-09,product_2,12,216
2023-03-10,product_0,5,471
2023-03-10,product_2,12,25
2023-03-11,product_0,5,11
2023-03-11,product_2,12,266
2023-03-12,product_0,5,75
2023-03-12,product_2,12,254
2023-03-13,product_0,5,440
2023-03-13,product_2,12,352
2023-03-14,product_0,5,84
2023-03-14,product_2,12,334
2023-03-15,product_0,5,262
2023-03-15,product_2,12,104
2023-03-16,product_0,5,23
2023-03-16,product_2,12,76
2023-03-17,product_0,5,264
2023-03-17,product_2,12,33
2023-03-18,product_0,5,396
2023-03-18,product_2,12,379
2023-03-19,product_0,5,296
2023-03-19,product_2,12,354
2023-03-20,product_0,5,395
2023-03-20,product_2,12,92
2023-03-21,product_0,5,335
2023-03-21,product_2,12,174
2023-03-22,product_0,5,62
2023-03-22,product_2,12,370
2023-03-23,product_0,5,192
2023-03-23,product_2,12,116
2023-03-24,product_0,5,467
